Race,Highest_Education,Gender,PTOT_R,PEARNVAL,A_MARITL,HEA,MIG_DIV
1,39,2,22,52500,1,3,1
1,39,1,30,56000,1,3,1
1,39,1,18,34000,1,3,1
1,36,2,9,0,1,3,1
1,39,2,17,40000,5,2,1
1,39,2,1,0,5,5,1
1,39,1,4,8424,7,3,1
1,42,2,1,0,1,3,1
1,40,1,24,58000,1,2,1
1,39,1,1,0,7,1,1
1,40,2,1,0,7,1,1
1,39,1,8,0,4,2,1
1,39,1,5,0,5,4,1
1,40,2,8,0,4,3,1
1,41,2,18,42000,1,2,1
1,43,1,30,55000,1,2,1
1,0,1,0,0,7,2,1
1,39,2,4,0,1,5,1
1,39,1,6,0,1,4,1
1,40,2,4,0,7,1,1
1,39,2,9,0,4,3,1
1,39,2,4,0,4,4,1
1,39,1,7,0,5,3,1
1,39,1,6,0,1,5,1
1,36,2,11,0,1,4,1
1,41,2,4,8000,1,4,1
1,39,1,6,14000,1,3,1
1,39,2,9,0,4,3,1
1,44,1,9,0,5,4,1
1,39,2,6,0,4,4,1
1,38,2,12,28000,7,2,1
1,36,1,1,200,7,2,1
1,34,2,1,0,7,2,1
1,38,1,11,25000,7,2,1
1,0,1,0,0,7,2,0
1,39,2,9,22000,7,2,1
1,38,2,1,0,7,2,1
1,34,1,1,0,1,5,1
1,37,2,3,0,1,3,1
1,35,2,1,0,7,3,1
1,39,2,5,0,7,3,1
1,43,1,17,0,6,4,1
1,39,2,10,0,4,2,1
1,42,1,41,150000,1,3,1
1,42,2,1,0,1,2,1
1,35,1,1,0,7,2,1
1,41,2,17,40000,1,2,1
1,41,1,13,30000,1,2,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,1
1,40,2,17,40000,5,3,1
1,39,2,30,74002,1,2,1
1,39,1,32,72000,1,2,1
1,33,2,9,0,4,3,1
1,40,2,17,40000,1,3,1
1,39,1,13,29374,1,3,1
1,39,1,9,20500,7,1,1
1,39,2,7,0,5,3,1
1,39,1,1,0,1,2,1
1,39,2,5,0,1,2,1
1,42,2,16,38000,1,1,1
1,39,1,24,55000,1,1,1
1,0,2,0,0,7,1,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,1
1,39,2,4,9000,5,2,1
1,40,1,8,7000,7,2,1
1,39,2,1,0,1,2,1
1,41,1,1,0,1,3,1
1,36,1,1,0,7,1,1
1,0,1,0,0,7,1,1
1,40,2,25,60000,1,2,1
1,39,1,30,60000,1,2,1
1,0,2,0,0,7,2,1
1,0,1,0,0,7,2,1
1,0,2,0,0,7,2,1
1,39,2,1,0,7,4,1
1,35,1,5,0,7,5,1
1,39,1,5,8000,7,3,1
1,44,2,6,0,1,3,1
1,46,1,14,0,1,5,1
1,44,2,28,16000,5,1,1
1,43,1,14,0,1,1,1
1,44,2,14,0,1,1,1
1,40,2,4,4700,7,4,1
1,0,1,0,0,7,1,1
1,43,1,27,65000,7,2,1
4,37,1,1,0,7,2,10
1,43,1,11,25000,1,1,1
1,40,2,23,25000,1,1,1
1,43,2,32,76000,1,1,1
1,43,1,34,71000,1,2,1
1,39,1,18,43000,7,1,1
1,42,2,7,0,3,3,1
1,42,1,15,35846,1,3,1
1,42,2,8,0,1,3,1
1,44,2,1,0,4,4,1
1,43,2,5,0,1,2,1
1,39,1,15,18000,1,4,1
1,39,1,13,0,1,3,1
1,43,2,20,0,1,1,1
1,40,1,16,0,1,4,1
4,39,2,4,0,1,3,1
1,44,1,7,13122,1,3,1
1,43,2,9,11449,1,1,1
1,43,1,23,55000,7,1,1
1,40,2,10,14800,7,1,1
1,40,1,1,1687,7,1,1
1,0,2,0,0,7,1,1
1,40,2,7,15001,1,1,1
1,42,1,21,49500,1,1,1
1,35,2,1,0,7,1,1
1,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,39,1,38,63000,1,2,1
1,40,2,1,0,1,2,1
1,39,1,21,41000,1,3,1
1,43,2,17,40000,1,3,1
1,39,1,19,2500,1,3,1
1,39,2,4,0,1,3,1
1,40,1,8,0,1,1,1
1,39,2,41,0,1,1,1
1,39,1,19,38000,5,3,1
1,43,2,33,80000,5,3,1
1,41,1,25,60000,1,2,1
1,40,2,8,19000,1,2,1
1,39,1,7,16000,7,2,1
1,39,2,22,5300,5,1,1
1,36,2,1,750,7,1,1
1,0,1,0,0,7,1,1
1,43,2,19,47200,7,1,1
1,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
1,39,1,5,8000,7,1,1
4,40,1,7,15000,1,5,1
4,39,2,1,680,1,4,1
4,43,1,1,2000,7,3,1
4,40,1,1,0,7,3,1
1,39,2,13,32000,1,4,1
1,39,1,26,64000,1,3,1
1,0,2,0,0,7,3,1
1,42,2,9,19000,7,3,1
1,0,2,0,0,7,1,1
1,42,2,2,0,1,3,1
1,40,1,5,10000,1,3,1
1,35,2,1,0,7,3,1
1,43,1,41,150000,1,1,1
1,44,2,41,125000,1,1,1
1,36,1,2,2800,7,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,40,1,41,120000,1,1,1
1,40,2,15,35000,1,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,45,1,41,147500,3,3,1
1,43,1,23,50000,1,2,1
1,44,2,21,50000,1,2,1
1,40,2,13,31733,7,4,1
1,39,1,5,10457,7,2,1
1,0,2,0,0,7,2,1
1,39,1,6,1000,5,5,1
1,40,2,1,0,1,2,1
1,39,1,17,42000,1,2,1
1,39,2,1,0,7,2,1
1,0,2,0,0,7,1,1
1,39,1,11,27000,7,3,1
1,41,2,11,25000,5,1,1
1,46,1,9,0,1,4,1
1,42,2,11,0,1,3,1
1,42,2,3,2800,5,2,1
1,39,2,18,24000,7,2,1
1,0,2,0,0,7,2,1
1,39,2,23,56000,5,1,1
1,39,1,1,0,7,1,1
1,35,1,1,0,7,1,1
1,38,1,9,21000,1,1,1
1,38,2,1,0,1,1,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,1
1,39,2,26,0,1,2,1
1,39,1,10,3600,1,2,1
1,43,2,13,31590,7,1,1
1,40,2,11,0,1,3,1
1,42,1,27,0,1,3,1
1,39,2,5,0,4,4,1
1,43,1,8,600,5,2,1
1,39,2,10,24000,5,2,1
1,39,2,4,0,5,4,1
1,39,2,12,0,1,2,1
1,39,1,41,0,1,2,1
1,40,1,11,0,1,2,1
1,43,2,13,18400,1,2,1
1,35,1,4,0,5,3,1
1,39,2,13,0,5,2,1
1,40,2,17,40000,1,3,1
1,39,1,21,50000,1,2,1
1,40,1,13,30000,7,1,1
1,38,2,1,0,7,1,1
1,43,1,2,2000,1,1,1
1,39,2,9,20000,1,1,1
1,40,2,11,0,4,2,1
1,40,2,4,0,1,3,1
1,40,1,8,0,1,3,1
1,39,2,9,22000,1,1,1
1,39,1,18,43000,1,1,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,0
1,39,2,1,0,1,3,1
1,39,1,11,25000,1,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,0,2,0,0,7,1,1
1,40,2,10,24000,5,2,1
1,39,2,10,24000,7,2,1
1,35,2,1,2000,7,2,1
1,39,1,11,27000,4,2,1
1,42,2,7,12876,7,3,1
1,0,2,0,0,7,1,1
1,39,2,12,28000,6,3,1
1,37,1,4,7920,7,3,1
1,39,2,6,0,3,3,1
1,39,2,9,22000,7,2,1
1,41,2,13,32000,7,2,1
1,39,1,14,32000,1,3,1
1,39,2,13,30000,1,3,1
1,39,1,11,25000,7,2,1
1,40,2,13,10000,1,5,1
1,39,1,11,5000,1,1,1
1,39,1,21,24000,1,3,1
1,39,2,1,0,1,3,1
1,40,1,35,82000,7,2,1
1,40,1,3,3000,7,2,1
1,37,2,2,4000,7,2,1
1,40,2,15,35000,7,2,1
1,46,2,16,0,7,2,1
1,39,2,11,0,4,2,1
1,40,1,21,0,1,3,1
1,39,2,9,20000,1,4,1
1,39,1,1,0,7,5,1
1,39,1,9,100,4,4,1
1,39,2,1,0,4,4,1
1,39,1,1,0,5,5,1
1,39,2,5,0,1,1,1
1,34,1,13,0,1,2,1
1,42,2,2,0,1,1,1
1,43,1,16,39000,1,2,1
1,0,1,0,0,7,1,1
1,42,2,15,37000,1,2,1
1,39,1,21,50000,1,2,1
1,37,1,4,0,1,3,1
1,42,2,1,0,1,5,1
1,39,2,11,25648,5,5,1
1,39,1,17,42000,7,4,1
1,41,2,15,35000,5,4,1
1,39,1,15,0,1,2,1
1,39,2,7,0,1,1,1
1,40,1,21,50000,7,1,1
1,40,2,9,0,4,4,1
1,39,1,4,8500,7,2,1
1,46,2,18,40000,1,1,1
1,44,1,41,200000,1,1,1
2,40,2,16,38000,7,2,1
6,0,2,0,0,7,1,1
1,41,1,9,20000,7,2,1
1,42,1,23,54000,7,2,1
1,40,2,12,28000,7,1,1
1,40,1,8,0,5,3,1
1,43,1,31,64000,1,1,1
1,41,2,10,24000,1,1,1
1,39,1,24,58000,7,1,1
1,40,1,15,35000,7,2,1
1,39,2,6,0,5,3,1
1,42,2,8,19000,1,3,1
1,39,1,8,17500,1,3,1
1,39,1,9,20800,7,4,1
1,0,1,0,0,7,2,1
1,39,2,6,14000,7,5,1
1,43,1,41,75202,1,1,1
1,43,2,2,0,1,1,1
1,40,2,18,31200,7,2,1
1,0,1,0,0,7,1,1
1,40,1,14,32000,7,2,1
1,42,2,1,0,1,1,7
1,42,1,39,95000,1,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,0
1,43,2,22,0,1,1,7
1,41,1,29,70000,1,1,7
7,43,1,40,85000,1,2,1
1,43,2,10,20000,1,2,1
7,0,2,0,0,7,2,1
1,43,2,26,62000,1,2,1
1,43,1,41,85000,1,2,1
1,43,1,41,88500,1,3,1
1,43,2,9,15000,1,2,1
1,39,2,1,0,1,1,5
1,44,1,9,20000,1,1,5
1,0,1,0,0,7,1,5
1,39,1,5,0,7,5,1
1,39,2,2,0,5,5,1
1,40,1,12,29000,7,2,1
1,40,1,12,29500,7,2,1
1,40,1,12,29000,7,3,1
1,39,2,8,0,5,4,1
1,39,2,5,0,5,3,1
1,39,2,9,21000,5,2,1
1,39,1,1,200,7,2,1
1,39,2,8,18814,1,3,1
1,39,1,41,100000,1,3,1
1,34,2,1,0,4,4,1
1,43,2,25,0,4,1,1
1,39,2,22,32760,5,3,1
1,39,1,1,0,7,3,1
1,39,2,1,0,7,4,1
1,34,2,1,0,7,3,1
1,0,2,0,0,7,1,1
1,39,1,13,31200,1,3,1
1,43,2,15,34000,1,3,1
1,39,2,16,38000,5,2,1
1,39,1,34,80000,5,2,1
1,43,2,21,50000,7,3,1
1,44,2,21,51000,1,1,1
1,44,1,41,70000,1,1,1
1,37,2,1,0,7,1,1
1,43,1,25,0,3,3,1
1,43,1,20,0,7,2,1
1,43,2,25,60001,7,2,1
1,40,1,29,51000,7,2,1
1,39,2,2,0,4,3,1
1,43,1,15,0,5,2,1
1,39,2,12,0,5,2,1
1,43,2,14,33000,7,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,40,2,11,25000,1,2,1
1,39,1,16,39000,1,2,1
1,0,2,0,0,7,2,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,2,1
1,40,2,11,27000,1,4,1
1,39,1,29,72000,1,3,1
1,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,40,1,19,45000,7,2,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,0
1,43,2,27,65000,7,2,1
1,43,1,17,40000,6,1,1
1,39,1,41,103000,7,4,1
1,0,1,0,0,7,1,1
1,39,2,28,68000,7,2,1
1,39,1,19,45000,7,4,1
1,39,1,7,2400,1,1,1
1,43,2,20,31000,1,2,1
1,40,1,25,60000,7,2,1
1,39,2,6,0,1,5,1
1,39,1,20,30000,1,4,1
1,35,2,2,0,7,1,1
1,0,1,0,0,7,1,1
1,44,2,24,59000,1,4,1
1,43,1,7,0,1,4,1
1,44,2,9,0,1,1,1
1,45,1,30,0,1,1,1
1,44,2,18,44001,1,1,1
1,42,1,37,90002,1,1,1
1,43,2,7,15000,7,3,1
1,39,2,14,0,4,4,1
1,42,1,11,0,5,4,1
1,35,2,1,0,1,1,1
1,40,1,16,38432,1,1,1
1,40,2,4,0,5,4,1
1,33,1,7,0,4,5,1
1,43,1,8,18565,7,2,1
1,39,1,6,0,1,3,1
1,39,2,6,0,1,2,1
1,39,1,41,120000,1,1,1
1,39,2,13,30000,1,1,1
1,40,2,28,50000,5,1,1
1,40,1,8,2400,5,2,1
1,39,1,13,28800,7,3,1
1,40,2,17,40000,7,2,1
1,42,1,13,32000,7,4,1
1,39,2,10,0,4,2,1
1,42,1,19,46000,7,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,42,2,10,23000,7,2,1
1,42,2,18,40310,5,4,1
1,36,1,1,460,7,1,1
1,0,1,0,0,7,3,1
1,39,2,19,45000,7,2,1
1,40,1,16,38000,7,4,1
1,39,1,32,78000,5,2,1
1,37,1,1,1000,7,2,1
1,0,1,0,0,7,2,1
1,43,1,21,42000,1,2,1
1,42,2,17,40000,1,2,1
1,0,1,0,0,7,2,1
1,40,1,1,0,1,2,1
1,46,2,41,241000,1,2,1
1,40,1,19,46859,7,1,1
1,40,2,2,4356,7,1,1
1,0,1,0,0,7,1,1
