FIPS,State,TAX_RTE,,,,
1,Alabama,0.04,,,,
2,Alaska,0,,,,
4,Arizona,0.056,,,,
5,Arkansas,0.065,,,,
6,California,0.0725,,,,
8,Colorado,0.029,,,,
9,Connecticut,0.0635,,,,
10,Delaware,0,,,,
11,D.C.,0.06,,,,
12,Florida,0.06,,,,
13,Georgia,0.04,,,,
15,Hawaii,0.04,,,,
16,Idaho,0.06,,,,
17,Illinois,0.0625,,,,
18,Indiana,0.07,,,,
19,Iowa,0.06,,,,
20,Kansas,0.065,,,,
21,Kentucky,0.06,,,,
22,Louisiana,0.0445,,,,
23,Maine,0.055,,,,
24,Maryland,0.06,,,,
25,Massachusetts,0.0625,,,,
26,Michigan,0.06,,,,
27,Minnesota,0.06875,,,,
28,Mississippi,0.07,,,,
29,Missouri,0.04225,,,,
30,Montana,0,,,,
31,Nebraska,0.055,,,,
32,Nevada,0.0685,,,,
33,New Hampshire,0,,,,
34,New Jersey,0.06625,,,,
35,New Mexico,0.05125,,,,
36,New York,0.04,,,,
37,North Carolina,0.0475,,,,
38,North Dakota,0.05,,,,
39,Ohio,0.0575,,,,
40,Oklahoma,0.045,,,,
41,Oregon,0,,,,
42,Pennsylvania,0.06,,,,
44,Rhode Island,0.07,,,,
45,South Carolina,0.06,,,,
46,South Dakota,0.045,,,,
47,Tennessee,0.07,,,,
48,Texas,0.0625,,,,
49,Utah,0.061,,,,
50,Vermont,0.06,,,,
51,Virginia,0.053,,,,
53,Washington,0.065,,,,
54,West Virginia,0.06,,,,
55,Wisconsin,0.05,,,,
56,Wyoming,0.04,,,,
